Sample in Buffer,Sample in Window,TRIGGER,app_cmd[2:0],app_wdf_data[255:0],app_addr[28:0],app_rd_data[255:0],app_rd_data_reg[255:0],app_en,app_rd_data_end,app_rd_data_valid,app_rdy,app_wdf_end,app_wdf_rdy,app_wdf_wren,ui_clk
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
94,94,0,1,0000000000000000000000000000000000000000000000000000000000000000,00001ac0,0095009500950095009500950095009500950095009500950095009500950095,00b600b600b600b600b600b600b600b600b600b600b600b600b600b600b600b6,1,1,0,1,0,1,0,1
95,95,0,1,0000000000000000000000000000000000000000000000000000000000000000,00001ae0,00b500b500b500b500b500b500b500b500b500b500b500b500b500b500b500b5,00b600b600b600b600b600b600b600b600b600b600b600b600b600b600b600b6,1,1,1,1,0,1,0,1
96,96,0,1,0000000000000000000000000000000000000000000000000000000000000000,00001b00,00b600b600b600b600b600b600b600b600b600b600b600b600b600b600b600b6,00b500b500b500b500b500b500b500b500b500b500b500b500b500b500b500b5,1,1,1,1,0,1,0,1
97,97,0,1,0000000000000000000000000000000000000000000000000000000000000000,00001b20,00b700b700b700b700b700b700b700b700b700b700b700b700b700b700b700b7,00b600b600b600b600b600b600b600b600b600b600b600b600b600b600b600b6,1,1,1,1,0,1,0,1
98,98,0,1,0000000000000000000000000000000000000000000000000000000000000000,00001b40,0098009800980098009800980098009800980098009800980098009800980098,00b700b700b700b700b700b700b700b700b700b700b700b700b700b700b700b7,1,1,0,1,0,1,0,1
99,99,0,1,0000000000000000000000000000000000000000000000000000000000000000,00001b60,00b700b700b700b700b700b700b700b700b700b700b700b700b700b700b700b7,00b700b700b700b700b700b700b700b700b700b700b700b700b700b700b700b7,1,1,1,1,0,1,0,1
100,100,0,1,0000000000000000000000000000000000000000000000000000000000000000,00001b80,00b800b800b800b800b800b800b800b800b800b800b800b800b800b800b800b8,00b700b700b700b700b700b700b700b700b700b700b700b700b700b700b700b7,1,1,1,1,0,1,0,1
101,101,0,1,0000000000000000000000000000000000000000000000000000000000000000,00001ba0,00bb00bb00bb00bb00bb00bb00bb00bb00bb00bb00bb00bb00bb00bb00bb00bb,00b800b800b800b800b800b800b800b800b800b800b800b800b800b800b800b8,1,1,1,1,0,1,0,1
102,102,0,1,0000000000000000000000000000000000000000000000000000000000000000,00001bc0,00bb00bb00bb00bb00bb00bb00bb00bb00bb00bb00bb00bb00bb00bb00bb00bb,00bb00bb00bb00bb00bb00bb00bb00bb00bb00bb00bb00bb00bb00bb00bb00bb,1,1,1,1,0,1,0,1
103,103,0,1,0000000000000000000000000000000000000000000000000000000000000000,00001be0,00bc00bc00bc00bc00bc00bc00bc00bc00bc00bc00bc00bc00bc00bc00bc00bc,00bb00bb00bb00bb00bb00bb00bb00bb00bb00bb00bb00bb00bb00bb00bb00bb,1,1,1,1,0,1,0,1
